weather year EST hour beginning,Solar Shape (Normalized),NYISO (NYC Zone) Historical Day Ahead Energy Price ($/MWh),NYISO (NYC Zone) Real Time Energy Price ($/MWh)
2023-01-01 00:00:00,0,33.29,29.45083333
2023-01-01 01:00:00,0,30.18,35.08583333
2023-01-01 02:00:00,0,29.68,30.22333333
2023-01-01 03:00:00,0,29.2,34.6025
2023-01-01 04:00:00,0,29.29,32.74
2023-01-01 05:00:00,0,29.55,29.94083333
2023-01-01 06:00:00,0,32.53,20.4475
2023-01-01 07:00:00,0.04650000000000001,32.65,23.58833333
2023-01-01 08:00:00,0.2325,33.52,23.7225
2023-01-01 09:00:00,0.39990000000000003,34.09,23.12166667
2023-01-01 10:00:00,0.5115000000000001,34.34,21.22333333
2023-01-01 11:00:00,0.558,34.34,19.36833333
2023-01-01 12:00:00,0.5115000000000001,34.04,20.4125
2023-01-01 13:00:00,0.465,32.63,26.12166667
2023-01-01 14:00:00,0.3627,32.7,26.99916667
2023-01-01 15:00:00,0.2232,32.04,29.13666667
2023-01-01 16:00:00,0.0651,42.01,26.9425
2023-01-01 17:00:00,0,48.98,28.46166667
2023-01-01 18:00:00,0,42.56,29.0825
2023-01-01 19:00:00,0,38.69,29.21833333
2023-01-01 20:00:00,0,34.34,30.12833333
2023-01-01 21:00:00,0,33.59,27.44166667
2023-01-01 22:00:00,0,32.94,29.50333333
2023-01-01 23:00:00,0,32.71,32.9875
2023-01-02 00:00:00,0,32.34,28.2725
2023-01-02 01:00:00,0,29.81,23.83583333
2023-01-02 02:00:00,0,28.55,21.27083333
2023-01-02 03:00:00,0,28.28,25.06083333
2023-01-02 04:00:00,0,28.88,24.905
2023-01-02 05:00:00,0,29.38,25.41166667
2023-01-02 06:00:00,0,34.01,18.475
2023-01-02 07:00:00,0.04650000000000001,35.55,23.06916667
2023-01-02 08:00:00,0.25110000000000005,35.4,28.3075
2023-01-02 09:00:00,0.4464,34.71,29.03833333
2023-01-02 10:00:00,0.5673,33.84,30.27333333
2023-01-02 11:00:00,0.6324000000000001,33.46,31.045
2023-01-02 12:00:00,0.6324000000000001,33.4,36.2625
2023-01-02 13:00:00,0.5766,33.08,33.8475
2023-01-02 14:00:00,0.4557,33.53,35.5975
2023-01-02 15:00:00,0.29760000000000003,35,33.4475
2023-01-02 16:00:00,0.09300000000000001,42.18,36.11083333
2023-01-02 17:00:00,0,50.48,111.3733333
2023-01-02 18:00:00,0,46.12,38.35416667
2023-01-02 19:00:00,0,42.49,31.17166667
2023-01-02 20:00:00,0,37.57,33.51583333
2023-01-02 21:00:00,0,33.98,30.1525
2023-01-02 22:00:00,0,33.98,30.92916667
2023-01-02 23:00:00,0,35.5,30.93666667
2023-01-03 00:00:00,0,31.27,30.65333333
2023-01-03 01:00:00,0,30.15,27.92916667
2023-01-03 02:00:00,0,28.33,24.685
2023-01-03 03:00:00,0,27.27,25.0425
2023-01-03 04:00:00,0,28.36,27.45416667
2023-01-03 05:00:00,0,30.67,27.48416667
2023-01-03 06:00:00,0,36.42,34.4075
2023-01-03 07:00:00,0.037200000000000004,41.31,43.60083333
2023-01-03 08:00:00,0.2325,42.05,44.855
2023-01-03 09:00:00,0.41850000000000004,41.31,45.48916667
2023-01-03 10:00:00,0.5115000000000001,40.1,46.69416667
2023-01-03 11:00:00,0.5766,40.13,86.5725
2023-01-03 12:00:00,0.5952000000000001,40.48,50.1675
2023-01-03 13:00:00,0.5394,41.12,38.825
2023-01-03 14:00:00,0.4371,38.74,42.57428571
2023-01-03 15:00:00,0.29760000000000003,41.37,43.55
2023-01-03 16:00:00,0.09300000000000001,48.39,43.39666667
2023-01-03 17:00:00,0,56.27,44.33333333
2023-01-03 18:00:00,0,51.45,41.9475
2023-01-03 19:00:00,0,46.1,39.92083333
2023-01-03 20:00:00,0,38.12,38.675
2023-01-03 21:00:00,0,34.56,34.46666667
2023-01-03 22:00:00,0,33.06,34.58166667
2023-01-03 23:00:00,0,32.82,31.53583333
2023-01-04 00:00:00,0,32.72,25.72916667
2023-01-04 01:00:00,0,29.69,20.875
2023-01-04 02:00:00,0,27.51,24.35333333
2023-01-04 03:00:00,0,26.84,24.81333333
2023-01-04 04:00:00,0,27.13,24.00833333
2023-01-04 05:00:00,0,28.73,31.27
2023-01-04 06:00:00,0,36.61,32.25583333
2023-01-04 07:00:00,0.0279,41.73,33.59583333
2023-01-04 08:00:00,0.18600000000000003,42.74,32.92833333
2023-01-04 09:00:00,0.3441,40.33,33.475
2023-01-04 10:00:00,0.48360000000000003,37.63,34.24583333
2023-01-04 11:00:00,0.5394,37.67,33.3675
2023-01-04 12:00:00,0.5394,37.82,32.12333333
2023-01-04 13:00:00,0.48360000000000003,38.16,31.458
2023-01-04 14:00:00,0.3906,37.88,29.63833333
2023-01-04 15:00:00,0.2697,40.01,27.12357143
2023-01-04 16:00:00,0.0837,45.86,33.07916667
2023-01-04 17:00:00,0,57.32,33.98166667
2023-01-04 18:00:00,0,49.47,32.66
2023-01-04 19:00:00,0,43.82,30.02833333
2023-01-04 20:00:00,0,39.2,29.13166667
2023-01-04 21:00:00,0,37.17,28.97
2023-01-04 22:00:00,0,34.95,27.525
2023-01-04 23:00:00,0,34.39,26.325
2023-01-05 00:00:00,0,29.1,23.21666667
2023-01-05 01:00:00,0,26.12,22.75166667
2023-01-05 02:00:00,0,25.01,23.3825
2023-01-05 03:00:00,0,25,23.28
2023-01-05 04:00:00,0,25.41,21.83083333
2023-01-05 05:00:00,0,26.98,21.255
2023-01-05 06:00:00,0,31.7,26.155
2023-01-05 07:00:00,0.04650000000000001,36.01,25.98416667
2023-01-05 08:00:00,0.24180000000000001,37.12,27.95583333
2023-01-05 09:00:00,0.4371,38.31,28.67083333
2023-01-05 10:00:00,0.5673,36.13,34.72416667
2023-01-05 11:00:00,0.6231000000000001,36.34,30.53266667
2023-01-05 12:00:00,0.6324000000000001,36,29.72230769
2023-01-05 13:00:00,0.5952000000000001,36.21,30.12833333
2023-01-05 14:00:00,0.48360000000000003,36.13,29.45
2023-01-05 15:00:00,0.31620000000000004,36.17,32.1525
2023-01-05 16:00:00,0.1023,42.89,39.41833333
2023-01-05 17:00:00,0,51.86,101.6241667
2023-01-05 18:00:00,0,45.47,39.87083333
2023-01-05 19:00:00,0,38.28,35.1525
2023-01-05 20:00:00,0,36.55,32.79166667
2023-01-05 21:00:00,0,34.61,47.0425
2023-01-05 22:00:00,0,32.09,33.45416667
2023-01-05 23:00:00,0,31.1,30.1475
2023-01-06 00:00:00,0,33.09,36.18071429
2023-01-06 01:00:00,0,31.51,34.345
2023-01-06 02:00:00,0,30.03,33.2175
2023-01-06 03:00:00,0,29.85,33.735
2023-01-06 04:00:00,0,29.87,35.79666667
2023-01-06 05:00:00,0,32.41,36.6475
2023-01-06 06:00:00,0,38.59,39.36833333
2023-01-06 07:00:00,0.04650000000000001,47.07,42.66833333
2023-01-06 08:00:00,0.24180000000000001,50.67,41.89357143
2023-01-06 09:00:00,0.41850000000000004,48.57,84.365
2023-01-06 10:00:00,0.5487,47.87,65.63583333
2023-01-06 11:00:00,0.6045,47.42,46.15833333
2023-01-06 12:00:00,0.6045,45.88,44.98692308
2023-01-06 13:00:00,0.5487,44.68,44.44583333
2023-01-06 14:00:00,0.4278,45.11,41.03333333
2023-01-06 15:00:00,0.2697,47.28,34.77416667
2023-01-06 16:00:00,0.09300000000000001,57.14,42.37583333
2023-01-06 17:00:00,0,67.64,47.5175
2023-01-06 18:00:00,0,57.52,43.8225
2023-01-06 19:00:00,0,52.4,36.53833333
2023-01-06 20:00:00,0,48.14,35.5
2023-01-06 21:00:00,0,43.66,39.5175
2023-01-06 22:00:00,0,40.32,38.78833333
2023-01-06 23:00:00,0,39.11,32.45583333
2023-01-07 00:00:00,0,39.88,35.52583333
2023-01-07 01:00:00,0,38.15,36.75083333
2023-01-07 02:00:00,0,35.7,35.22166667
2023-01-07 03:00:00,0,34.79,35.3575
2023-01-07 04:00:00,0,35.32,37.7325
2023-01-07 05:00:00,0,36.55,33.58333333
2023-01-07 06:00:00,0,42.27,34.53
2023-01-07 07:00:00,0.037200000000000004,43.39,43.8825
2023-01-07 08:00:00,0.24180000000000001,47.27,42.93333333
2023-01-07 09:00:00,0.41850000000000004,45.9,53.73416667
2023-01-07 10:00:00,0.5487,47.2,56.75928571
2023-01-07 11:00:00,0.6138,47.18,41.7825
2023-01-07 12:00:00,0.6231000000000001,46.88,38.36666667
2023-01-07 13:00:00,0.5859000000000001,46.04,36.23166667
2023-01-07 14:00:00,0.48360000000000003,46.8,36.42833333
2023-01-07 15:00:00,0.31620000000000004,47.32,33.44166667
2023-01-07 16:00:00,0.1116,55.78,38.79416667
2023-01-07 17:00:00,0,74.33,40.08916667
2023-01-07 18:00:00,0,70.02,36.78
2023-01-07 19:00:00,0,60.29,36.1875
2023-01-07 20:00:00,0,52.23,35.80333333
2023-01-07 21:00:00,0,50.18,36.98666667
2023-01-07 22:00:00,0,47.92,37.3575
2023-01-07 23:00:00,0,49,34.8175
2023-01-08 00:00:00,0,42.89,39.43583333
2023-01-08 01:00:00,0,41.26,33.51416667
2023-01-08 02:00:00,0,39.56,30.7225
2023-01-08 03:00:00,0,38.96,31.41916667
2023-01-08 04:00:00,0,39.05,29.75416667
